Index | Clip Name | Timeline Start | Timeline End | Duration | Source Start Frame | Source End Frame
1 | A001_03271231_C058.mov | 216000 | 216087 | 87 | 28203 | 28290 | Subs: 大家好我是Mars / 我們這堂課呢
2 | A001_03271231_C058.mov | 216087 | 216136 | 49 | 28323 | 28372 | Subs: 我們這堂課呢
3 | A001_03271231_C058.mov | 216136 | 216242 | 106 | 28413 | 28519 | Subs: 分別是暹羅貓漂色
4 | A001_03271231_C058.mov | 216242 | 216353 | 111 | 28575 | 28686 | Subs: 另外一個是不漂的霧感
5 | A001_03271242_C059.mov | 216353 | 216632 | 279 | 4599 | 4878 | Subs: 我們在現場實作帶來的業績的成長是 / 80%到90%
6 | A001_03271242_C059.mov | 216632 | 216833 | 201 | 4963 | 5164 | Subs: 每個月大概都可以成長 / 大概10萬到20萬左右
7 | A001_03271242_C059.mov | 216833 | 216990 | 157 | 5203 | 5360 | Subs: 很值得所有設計師來上的一堂課
8 | A001_03271231_C058.mov | 216990 | 217159 | 169 | 28873 | 29042 | Subs: 暹羅貓給我的是 / 我的版面引流的張力 / 90%的霧感髮色
9 | A001_03271231_C058.mov | 217159 | 217446 | 287 | 29156 | 29443 | Subs: 90%的霧感髮色 / 其實都是依靠我的IG / 版面的高張力引進來的
10 | A001_03271231_C058.mov | 217446 | 217486 | 40 | 29469 | 29509 | Subs: 版面的高張力引進來的
11 | A001_03271231_C058.mov | 217486 | 217526 | 40 | 29546 | 29586 | Subs: 版面的高張力引進來的
12 | A001_03271229_C056.mov | 217526 | 217754 | 228 | 759 | 987 | Subs: 那這次課程呢 / 我們大概會解決幾個要點 / 第一個
13 | A001_03271231_C058.mov | 217754 | 217853 | 99 | 665 | 764 | Subs: 暹羅貓的髮色
14 | A001_03271231_C058.mov | 217853 | 217967 | 114 | 1914 | 2028 | Subs: 做出來的尾巴的那個黑色很生硬
15 | A001_03271231_C058.mov | 217967 | 218145 | 178 | 2124 | 2302 | Subs: 做出來的尾巴的那個黑色很生硬 / 不管是在拍照或是肉眼看的時候 / 硬線都是非常明顯
16 | A001_03271231_C058.mov | 218145 | 218220 | 75 | 2345 | 2420 | Subs: 硬線都是非常明顯
17 | A001_03271231_C058.mov | 218220 | 218265 | 45 | 2476 | 2521 | Subs: 硬線都是非常明顯 / 這次的課程要幫所有的設計師
18 | A001_03271231_C058.mov | 218265 | 218358 | 93 | 2574 | 2667 | Subs: 這次的課程要幫所有的設計師
19 | A001_03271231_C058.mov | 218358 | 218466 | 108 | 2758 | 2866 | Subs: 怎麼去做到淡化的效果
20 | A001_03271231_C058.mov | 218466 | 218501 | 35 | 2919 | 2954 | Subs: 黑色、主色
21 | A001_03271231_C058.mov | 218501 | 218532 | 31 | 3011 | 3042 | Subs: 黑色、主色 / 是要怎麼能夠融合在一起
